Date,Open,High,Low,Last,Volume,Turnover
2018-06-28,15.8,15.8,15.8,15.8,160.0,2528.0
2018-06-19,16.2,16.2,16.2,16.2,25.0,405.0
2018-06-07,15.5,15.5,15.5,15.5,13.0,201.5
2018-04-09,14.6,14.6,14.6,14.6,1.0,14.6
2018-03-09,13.1,14.4,13.1,14.4,1200.0,16500.0
2018-02-12,14.4,14.4,14.4,14.4,30.0,432.0
2018-01-12,15.0,15.0,14.3,14.3,361.0,5163.0
2017-12-18,13.39,13.39,13.39,13.39,1.0,13.39
2017-12-12,13.5,13.5,13.5,13.5,184.0,2484.0
2017-12-11,12.0,13.3,12.0,13.3,41.0,519.3
2017-11-13,11.66,11.66,11.66,11.66,1.0,11.66
2017-11-06,13.5,13.5,13.5,13.5,1.0,13.5
2017-10-17,13.5,13.5,13.5,13.5,15.0,202.5
2017-09-14,12.15,12.15,12.15,12.15,37.0,449.55
2017-08-21,14.2,14.2,12.2,12.2,399.0,5267.8
2017-04-04,14.5,14.5,14.5,14.5,100.0,1450.0
2017-03-06,14.17,14.17,14.17,14.17,38.0,538.46
2017-03-02,14.84,14.84,14.84,14.84,38.0,563.92
2017-02-13,13.85,13.85,13.85,13.85,120.0,1662.0
2017-02-09,13.45,13.5,13.45,13.5,430.0,5796.05
2017-01-31,13.5,13.5,13.5,13.5,38.0,513.0
2017-01-19,13.0,13.0,13.0,13.0,55.0,715.0
2016-12-30,12.91,12.91,12.91,12.91,100.0,1291.0
2016-12-01,14.78,14.78,14.78,14.78,100.0,1478.0
2016-10-14,15.11,16.0,15.11,15.7,717.0,10847.5
2015-05-15,27.6,27.6,27.6,27.6,10.0,276.0
2015-05-04,25.16,28.08,25.16,28.08,16.0,425.92
2015-04-13,34.63,34.63,34.63,34.63,350.0,12120.5
2015-03-12,33.0,33.0,33.0,33.0,90.0,2970.0
2015-02-24,31.95,31.95,31.95,31.95,109.0,3482.55
2015-02-23,30.0,30.0,30.0,30.0,1.0,30.0
2015-02-20,29.6,29.6,29.6,29.6,10.0,296.0
2015-02-17,30.0,30.0,30.0,30.0,99.0,2970.0
2014-12-22,28.83,28.83,28.83,28.83,302.0,8706.66
2014-12-19,26.2,26.2,26.2,26.2,600.0,15720.0
2014-11-24,28.795,28.795,28.795,28.795,8.0,230.36
2014-11-18,56.29,56.29,56.29,56.29,300.0,16887.0
2014-10-31,52.9,52.9,52.9,52.9,800.0,42320.0
2014-03-04,46.48,46.48,46.48,46.48,40.0,1859.2
2013-06-19,29.61,29.61,29.61,29.61,171.0,5063.31
